/var/spool/slurmd/job1006452/slurm_script: line 8: conda: command not found
/scrtp/avon/eb/software/SciPy-bundle/2022.05-foss-2022a/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Epoch 500, normalising constant 1.003830909729004 -0.033608853816986084
run 10 cop_u 0 DONE 2221.1853
Epoch 100, normalising constant 0.9961374402046204 0.001880347728729248
Epoch 200, normalising constant 0.9921655058860779 0.0008746981620788574
Epoch 300, normalising constant 0.9893854260444641 0.018813252449035645
Epoch 400, normalising constant 0.9875142574310303 -0.02163153886795044
Epoch 500, normalising constant 0.9866539835929871 -0.0037974119186401367
run 10 cop_u 1 DONE 2301.7332
Epoch 100, normalising constant 1.0059419870376587 0.0004010796546936035
Epoch 200, normalising constant 1.0052926540374756 7.009506225585938e-05
Epoch 300, normalising constant 1.0043731927871704 -0.010176539421081543
Epoch 400, normalising constant 1.003586769104004 -0.008519411087036133
Epoch 500, normalising constant 1.0029650926589966 -0.03705096244812012
run 10 cop_u 2 DONE 1789.8801
Epoch 100, normalising constant 1.01119065284729 -0.003493666648864746
Epoch 200, normalising constant 1.0117840766906738 -0.00034624338150024414
Epoch 300, normalising constant 1.0111287832260132 0.01187068223953247
Epoch 400, normalising constant 1.0106942653656006 0.008677184581756592
Epoch 500, normalising constant 1.0103777647018433 -0.02014636993408203
run 10 cop_u 3 DONE 4238.1206
Epoch 100, normalising constant 1.0039482116699219 0.0005257725715637207
Epoch 200, normalising constant 1.0039803981781006 0.00021755695343017578
Epoch 300, normalising constant 1.0035383701324463 -0.0004636049270629883
Epoch 400, normalising constant 1.0028531551361084 0.034469783306121826
Epoch 500, normalising constant 1.0026342868804932 0.030330538749694824
run 11 cop_u 0 DONE 783.8984
Epoch 100, normalising constant 1.0053772926330566 0.0006899237632751465
Epoch 200, normalising constant 1.0032637119293213 0.0008789300918579102
Epoch 300, normalising constant 1.001107096672058 -0.014372527599334717
Epoch 400, normalising constant 0.9989005923271179 -0.013272404670715332
Epoch 500, normalising constant 0.9968658089637756 -0.020444095134735107
run 11 cop_u 1 DONE 2127.1223
Epoch 100, normalising constant 1.007718563079834 -0.00034880638122558594
Epoch 200, normalising constant 1.005459189414978 0.000581204891204834
Epoch 300, normalising constant 1.0008995532989502 -0.0033211112022399902
Epoch 400, normalising constant 0.998524010181427 -0.013552248477935791
Epoch 500, normalising constant 0.9980705380439758 -0.042680442333221436
run 11 cop_u 2 DONE 1891.7772
Epoch 100, normalising constant 0.9964812994003296 -0.03353160619735718
Epoch 200, normalising constant 0.9952170252799988 0.004037022590637207
Epoch 300, normalising constant 0.9946476817131042 -0.008065581321716309
Epoch 400, normalising constant 0.9950804114341736 0.036627769470214844
Epoch 500, normalising constant 0.9959070682525635 -0.02509218454360962
run 11 cop_u 3 DONE 1655.3549
Epoch 100, normalising constant 1.0078203678131104 -0.00011903047561645508
Epoch 200, normalising constant 1.005287766456604 -0.002301931381225586
Epoch 300, normalising constant 1.0026723146438599 -0.04008740186691284
Epoch 400, normalising constant 1.0005824565887451 0.01077502965927124
Epoch 500, normalising constant 0.9990559220314026 -0.002400338649749756
run 12 cop_u 0 DONE 1930.1094
Epoch 100, normalising constant 0.9878026843070984 0.021406590938568115
Epoch 200, normalising constant 0.9860694408416748 -0.018567919731140137
Epoch 300, normalising constant 0.9837315678596497 -0.012330234050750732
Epoch 400, normalising constant 0.9816559553146362 -0.035378992557525635
Epoch 500, normalising constant 0.9799987077713013 -0.04566991329193115
run 12 cop_u 1 DONE 2165.1426
Epoch 100, normalising constant 1.0061031579971313 -3.2782554626464844e-06
Epoch 200, normalising constant 1.003793478012085 -0.017566323280334473
Epoch 300, normalising constant 1.0011425018310547 0.02569448947906494
Epoch 400, normalising constant 0.9994898438453674 -0.04458397626876831
Epoch 500, normalising constant 0.9981709718704224 -0.007025599479675293
run 12 cop_u 2 DONE 1655.4595
Epoch 100, normalising constant 1.0027916431427002 0.00023788213729858398
Epoch 200, normalising constant 1.0019148588180542 0.001887202262878418
Epoch 300, normalising constant 1.000839114189148 0.002558767795562744
Epoch 400, normalising constant 1.0001329183578491 -0.02818208932876587
Epoch 500, normalising constant 0.9993117451667786 0.0032323598861694336
run 12 cop_u 3 DONE 1944.4415
Epoch 100, normalising constant 1.0038758516311646 -0.0007318258285522461
Epoch 200, normalising constant 1.0020997524261475 0.0011073946952819824
Epoch 300, normalising constant 0.9988182187080383 0.01685100793838501
Epoch 400, normalising constant 0.9951602816581726 0.01584571599960327
Epoch 500, normalising constant 0.991656482219696 0.022584855556488037
run 13 cop_u 0 DONE 2323.2485
Epoch 100, normalising constant 1.0077030658721924 0.0013760924339294434
Epoch 200, normalising constant 1.0048933029174805 -0.0001818537712097168
Epoch 300, normalising constant 1.0031205415725708 0.0005993843078613281
Epoch 400, normalising constant 1.0015379190444946 0.009716331958770752
Epoch 500, normalising constant 1.0007743835449219 -0.040049850940704346
run 13 cop_u 1 DONE 2327.0518
Epoch 100, normalising constant 1.0019925832748413 0.00025707483291625977
Epoch 200, normalising constant 1.0008903741836548 0.0050511956214904785
Epoch 300, normalising constant 1.000052809715271 0.0013973116874694824
Epoch 400, normalising constant 0.998938798904419 0.011194169521331787
Epoch 500, normalising constant 0.9978724122047424 -0.02897411584854126
run 13 cop_u 2 DONE 1808.2975
Epoch 100, normalising constant 1.0126457214355469 -0.024639368057250977
Epoch 200, normalising constant 1.011791706085205 -0.018107116222381592
Epoch 300, normalising constant 1.010859727859497 -0.0019544363021850586
Epoch 400, normalising constant 1.0101230144500732 0.03276485204696655
Epoch 500, normalising constant 1.0097112655639648 -0.04297375679016113
run 13 cop_u 3 DONE 3790.6692
Epoch 100, normalising constant 1.0156679153442383 0.0004940629005432129
Epoch 200, normalising constant 1.0113694667816162 -0.01304173469543457
Epoch 300, normalising constant 1.0067933797836304 -0.031014740467071533
Epoch 400, normalising constant 1.0033361911773682 0.0420149564743042
Epoch 500, normalising constant 1.0014935731887817 0.0183141827583313
run 14 cop_u 0 DONE 1620.0618
Epoch 100, normalising constant 1.0009572505950928 -0.0005732178688049316
Epoch 200, normalising constant 1.0009818077087402 0.008225202560424805
Epoch 300, normalising constant 0.9986060261726379 0.031804025173187256
Epoch 400, normalising constant 0.9969406127929688 -0.012726962566375732
Epoch 500, normalising constant 0.9960598349571228 -0.043489038944244385
run 14 cop_u 1 DONE 2220.3213
Epoch 100, normalising constant 0.9989317655563354 0.0003267526626586914
Epoch 200, normalising constant 0.9980090260505676 -0.008796513080596924
Epoch 300, normalising constant 0.9957315921783447 -0.0036156773567199707
Epoch 400, normalising constant 0.9932404160499573 0.04371923208236694
Epoch 500, normalising constant 0.9920305609703064 -0.05141305923461914
run 14 cop_u 2 DONE 2142.52
Epoch 100, normalising constant 1.0030909776687622 0.00045043230056762695
Epoch 200, normalising constant 1.0019713640213013 0.019327402114868164
Epoch 300, normalising constant 1.0015497207641602 0.01931089162826538
Epoch 400, normalising constant 1.002185344696045 -0.037491023540496826
Epoch 500, normalising constant 1.0030771493911743 -0.04802882671356201
run 14 cop_u 3 DONE 628.1217
Epoch 100, normalising constant 1.0053421258926392 0.0007139444351196289
Epoch 200, normalising constant 1.00218665599823 0.002209782600402832
Epoch 300, normalising constant 0.9989162683486938 0.005432486534118652
Epoch 400, normalising constant 0.9968641996383667 -0.0107230544090271
Epoch 500, normalising constant 0.9948146343231201 0.04315900802612305
run 15 cop_u 0 DONE 1030.3468
Epoch 100, normalising constant 1.0103243589401245 0.0004875063896179199
Epoch 200, normalising constant 1.0076630115509033 -0.026829540729522705
Epoch 300, normalising constant 1.0062615871429443 -0.007629275321960449
Epoch 400, normalising constant 1.0055408477783203 -0.03814035654067993
Epoch 500, normalising constant 1.005069375038147 0.013010382652282715
run 15 cop_u 1 DONE 1774.6869
Epoch 100, normalising constant 1.0062830448150635 0.000745236873626709
Epoch 200, normalising constant 1.004569411277771 0.001146852970123291
Epoch 300, normalising constant 1.0029646158218384 0.0010418295860290527
Epoch 400, normalising constant 1.001186728477478 -0.01729261875152588
